"gene","ensembl_id","stat","log2FoldChange"
"RAB11FIP3","ENSG00000090565",0.000908500538983369,0.893928616182982
"EFEMP1","ENSG00000115380",0.000935509622774719,-0.854633761090717
"ATF7IP","ENSG00000171681",0.000956436890379447,-0.767964353066106
"FASTKD2","ENSG00000118246",0.000973643630164752,0.731796677860892
"TIPARP","ENSG00000163659",0.00107507717575954,0.638778213826087
"LMNB1","ENSG00000113368",0.00109130266209943,1.0462684850642
"MTA3","ENSG00000057935",0.00110355498668394,-0.717478324975856
"NEDD4","ENSG00000069869",0.00115560814699851,-0.630925919240386
"RPL9","ENSG00000163682",0.0011561513688864,0.543348262872887
"RAB10","ENSG00000084733",0.00117901054100705,-0.424386894468025
"DHRS4L2","ENSG00000187630",0.00121576815884882,0.650337413057539
"DDX10","ENSG00000178105",0.00124789677744065,1.04889891519464
"ADCY1","ENSG00000164742",0.00126987420102529,1.22075209098054
"ARRDC4","ENSG00000140450",0.00128146778185246,0.57107730288955
"CHML","ENSG00000203668",0.00130945257847118,0.802279175803259
"GSPT1","ENSG00000103342",0.00131939782957637,-0.579321722540003
"UBE2R2","ENSG00000107341",0.0013225068846747,0.53920965172664
"PHF19","ENSG00000119403",0.0013225068846747,1.39593476852716
"BUB1","ENSG00000169679",0.0013225068846747,1.6392732281794
"ACTG1","ENSG00000184009",0.00133340647574315,-0.436499114404691
"RPL13A","ENSG00000142541",0.00133600441582867,0.660050896306085
"SHTN1","ENSG00000187164",0.00134039626540143,-0.507184155294918
"ATP5PD","ENSG00000167863",0.00134619372278472,-0.44307796342274
"RPS15","ENSG00000115268",0.00134619372278472,0.50774877181125
"ST8SIA4","ENSG00000113532",0.00135184049705365,-0.755067144635373
"EVL","ENSG00000196405",0.00141492921469143,0.445130990776471
"NCOA7","ENSG00000111912",0.00141492921469143,-1.18645019478762
"H2AC14","ENSG00000276368",0.00148315732371312,0.704933779160806
"ENTREP3","ENSG00000160767",0.00149561363048184,-1.82488920452031
"KDM4B","ENSG00000127663",0.00150337462010053,0.850741435439548
"NXNL2","ENSG00000130045",0.00150337462010053,1.44528564245623
"CLDN4","ENSG00000189143",0.00150396608391072,-0.455247096901976
"SND1","ENSG00000197157",0.00152082577294666,0.510175796989818
"NOC2L","ENSG00000188976",0.00154174411833443,0.599193130549133
"TMEM64","ENSG00000180694",0.00160897705717936,0.885243241889197
"MBOAT1","ENSG00000172197",0.00165192756190577,0.619418301027817
"DDA1","ENSG00000130311",0.00166413941857303,-0.610347357966645
"EIF3L","ENSG00000100129",0.001669426793138,0.599788127500652
"PDHB","ENSG00000168291",0.00168425696781187,0.674955968794035
"GTF2F2","ENSG00000188342",0.00171394500227353,0.996570169085518
"SUMF2","ENSG00000129103",0.00173646042081798,0.55203128447529
"SULF1","ENSG00000137573",0.00175215876407007,1.27055911213836
"FLRT3","ENSG00000125848",0.00175919862087372,-0.987559820923674
"RPL12","ENSG00000197958",0.00177123215972756,0.648578790286822
"TMEM87B","ENSG00000153214",0.0017921974075119,0.457081616381145
"MED22","ENSG00000148297",0.0017966600709728,-0.716881124012705
"RPL36","ENSG00000130255",0.00182492699927404,-0.747219631598542
"NDUFB5","ENSG00000136521",0.00182700230775277,-0.447750073127484
"CCNB2","ENSG00000157456",0.0018928195937812,1.13177253755994
"MMADHC","ENSG00000168288",0.0018928195937812,0.656982637757665
"FAM20C","ENSG00000177706",0.0018928195937812,-0.625673965646289
"CLMN","ENSG00000165959",0.0018928195937812,-0.839766774232046
"RPS27","ENSG00000177954",0.00192752120679967,-0.41426947861563
